DE ref,Schoolname,Newcomer,Total enrolment,% Newcomer
3010860,Sunnylands Primary School,*,167,*
3010862,Abbots Cross Primary School,5,315,1.60%
3010870,Moyle Primary School,11,407,2.70%
3010873,Bushmills Primary School,*,111,*
3010874,Whitehead Primary School,8,444,1.80%
3010875,Ballymena Primary School,66,296,22.30%
3010878,Kilmoyle Primary School,0,81,0.00%
3010879,Straidhavern Primary School,0,52,0.00%
3010880,"Kings Park Primary School, Newtownabbey",0,393,0.00%
3010883,Linn Primary School,0,413,0.00%
3010891,Fourtowns Primary School,*,294,*
3010892,Ballytober Primary School,0,87,0.00%
3010893,Knockahollet Primary School,0,96,0.00%
3010895,Rathcoole Primary School,*,125,*
3012049,Carnalridge Primary School,0,184,0.00%
3012065,Culcrow Primary School,0,99,0.00%
3012225,Damhead Primary School,0,206,0.00%
3012229,Hezlett Primary School,0,248,0.00%
3012233,Tobermore Primary School,0,52,0.00%
3012234,Ampertaine Primary School,*,126,*
3012237,"Killowen Primary School, Coleraine",12,201,6.00%
3012250,Portstewart Primary School,16,278,5.80%
3012264,Millburn Primary School,22,351,6.30%
3012267,Magherafelt Controlled Primary School,17,242,7.00%
3012269,Kilrea Primary School,0,90,0.00%
3012282,Culnady Primary School,0,26,0.00%
3012284,D H Christie Memorial Primary School,26,425,6.10%
3012288,Castleroe Primary School,*,110,*
3012290,Bellaghy Primary School,*,55,*
3012291,Maghera Primary School,*,100,*
3013301,Carnmoney Primary School,*,408,*
3013310,Broughshane Primary School,*,339,*
3013315,Ballykeel Primary School,0,433,0.00%
3013322,Camphill Primary School,9,392,2.30%
3013323,Mossgrove Primary School,19,295,6.40%
3013325,Leaney Primary School,0,282,0.00%
3013330,"Victoria Primary School, Carrickfergus",6,464,1.30%
3013331,Ballycraigy Primary School,*,140,*
3013332,Toreagh Primary School,0,102,0.00%
3013700,Macosquin Primary School,0,204,0.00%
3013703,Kilross Primary School,0,40,0.00%
3013704,Castledawson Primary School,0,94,0.00%
3016005,Silverstream Primary School,6,144,4.20%
3016014,Templepatrick Primary School,0,456,0.00%
3016015,Mossley Primary School,0,622,0.00%
3016037,Greystone Primary School,8,197,4.10%
3016038,Hollybank Primary School,*,143,*
3016040,Armoy Primary School,0,89,0.00%
3016052,Harpurs Hill Primary School,*,220,*
3016055,Gorran Primary School,0,81,0.00%
3016058,Parkhall Primary School,5,202,2.50%
3016063,Dunclug Primary School,0,67,0.00%
3016119,Garvagh Primary School,0,79,0.00%
3016125,Rasharkin Primary School,*,71,*
3016129,Carniny Primary School,*,287,*
3016170,Ballyhenry Primary School,8,159,5.00%
3016225,Woodlawn Primary School,*,267,*
3016244,Ashgrove Primary,7,357,2.00%
3016249,Earlview Primary,*,224,*
3016252,Ballysally Primary School,0,266,0.00%
3016257,Oakfield Primary School,*,328,*
3016260,Cloughmills Primary School,*,65,*
3016264,Irish Society's Primary School,11,299,3.70%
3016269,Cairncastle Primary School,0,115,0.00%
3016283,Knockloughrim Primary School,0,111,0.00%
3016414,Fairview Primary School,0,531,0.00%
3016440,Portglenone Primary School,0,118,0.00%
3016444,Hazelbank Primary School,0,114,0.00%
3016447,Balnamore Primary School,0,103,0.00%
3016594,Bushvalley Primary School,0,144,0.00%
3016705,Islandmagee Primary School,0,109,0.00%
3030434,Creggan Primary School,0,117,0.00%
3030438,Millquarter Primary School,0,135,0.00%
3030547,"St Patrick's Primary School, Portrush",11,79,13.90%
3030588,"St Mary's Primary School, Rathlin",0,10,0.00%
3030621,"St Mary's Primary School, Portglenone",6,222,2.70%
3030688,Mount St Michael's Primary School,53,471,11.30%
3030708,Glenann Primary School,0,68,0.00%
3030719,St Olcan's Primary School,0,80,0.00%
3030800,Barnish Primary School,0,45,0.00%
3030815,Moneynick Primary School,*,63,*
3030832,"St Comgall's Primary School, Antrim",132,534,24.70%
3030848,St Macnisius' Primary School,*,35,*
3030890,"St Brigid's Primary School, Cloughmills",*,69,*
3030894,"St Mary's Primary School, Cushendall",11,182,6.00%
3030898,"St Anne's Primary School, Ballymena",*,64,*
3030899,"Seaview Primary School, Glenarm",0,40,0.00%
3030900,"St Anthony's Primary School, Larne",*,101,*
3032018,"St Brigid's Primary School, Tirkane",*,205,*
3032104,Ballyhackett Primary School,0,44,0.00%
3032109,New Row Primary School,6,174,3.40%
3032185,St Trea's Primary School,*,114,*
3032197,Knocknagin Primary School,0,63,0.00%
3032202,"St Columba's Primary School, Garvagh",0,104,0.00%
3032205,"St Columb's Primary School, Magherafelt",0,87,0.00%
3032218,Crossroads Primary School,0,121,0.00%
3032231,"St Colum's Primary School, Portstewart",11,177,6.20%
3032246,"St John Bosco Primary School, Ballynease",0,120,0.00%
3032257,Anahorish Primary School,0,175,0.00%
3032268,"St Columba's Primary School, Straw",0,186,0.00%
3032271,St Eoghan's Primary School,0,121,0.00%
3032273,"St Mary's Primary School, Draperstown",22,218,10.10%
3032274,"St John's Primary School, Swatragh",0,206,0.00%
3032275,Greenlough Primary School (St Mary's),14,186,7.50%
3032281,"St Mary's Primary School, Bellaghy",*,219,*
3032285,St Patrick's & St Joseph's Primary School,0,177,0.00%
3032297,"St Malachy's Primary School, Coleraine",66,224,29.50%
3033303,"St Oliver Plunkett Primary School, Antrim",11,212,5.20%
3033304,Tir-na-Nog Primary School,0,24,0.00%
3033313,"St Bernard's Primary School, Newtownabbey",34,640,5.30%
3033317,"St John's Primary School, Carnlough",*,168,*
3033320,"St Patrick's Primary School, Rasharkin",30,222,13.50%
3033326,"St Brigid's Primary School, Ballymoney",16,203,7.90%
3033709,"St John's Primary School, Coleraine",42,157,26.80%
3036026,"St Joseph's Primary School, Crumlin",12,685,1.80%
3036039,"St Mary's Primary School, Glenview",19,242,7.90%
3036046,St Mary's-on-The-Hill Primary School,32,378,8.50%
3036050,"St Joseph's Primary School, Antrim",78,316,24.70%
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",68,317,21.50%
3036103,"St Brigid's Primary School, Knockloughrim",*,260,*
3036131,"St Patrick's Primary School, Glenariffe",0,110,0.00%
3036139,"St Macnissi's Primary School, Newtownabbey",*,201,*
3036147,"St Columba's Primary School, Kilrea",38,247,15.40%
3036154,"St Patrick's Primary School, Loughgiel",0,194,0.00%
3036243,"St Joseph's Primary School, Dunloy",14,318,4.40%
3036268,St Ciaran's Primary School,*,44,*
3036292,"St Patrick's Primary School, Glen",0,189,0.00%
3036559,St Patrick's & St Brigid's Primary School,24,366,6.60%
3036562,"Holy Family Primary School, Magherafelt",148,591,25.00%
3036563,"St Nicholas' Primary School, Carrickfergus",28,178,15.70%
3036575,"St Macnissi's Primary School, Larne",5,222,2.30%
3036666,"St Colmcille's Primary School, Ballymena",70,383,18.30%
3036679,"St Brigid's Primary School, Ballymena",139,407,34.20%
3036683,"St Paul's Primary School, Ahoghill",*,74,*
3036704,Mary Queen of Peace Primary School,0,237,0.00%
3042162,Desertmartin Primary School,*,20,*
3046653,Gaelscoil an Chaistil,0,113,0.00%
3046678,Gaelscoil na Sp?ir?n?,0,49,0.00%
3046684,Gaelscoil Ghleann Darach,0,74,0.00%
3046685,Gaelscoil Eanna,6,174,3.40%
3046691,Gaelscoil an tSeancha?,6,132,4.50%
3050519,Carnlough Controlled Integrated Primary School,0,32,0.00%
3050791,Glengormley Integrated Primary School,56,350,16.00%
3050859,Crumlin Controlled Intergrated Primary School,0,166,0.00%
3050866,Ballymoney Controlled Integrated Primary School,9,355,2.50%
3052071,Carhill Integrated Primary School,*,71,*
3053333,Ballycastle Integrated Primary School,0,202,0.00%
3056231,Six Mile Integrated Primary School,12,105,11.40%
3056248,Round Tower Integrated Primary School,39,286,13.60%
3056708,Mallusk Controlled Integrated Primary School,*,21,*
3066544,Millstrand Integrated Primary School,7,245,2.90%
3066551,Braidside Integrated Primary School,*,314,*
3066561,Corran Integrated Primary School,*,159,*
3066568,Acorn Integrated Primary School,*,224,*
3066613,Spires Integrated Primary School,*,193,*
3066652,Maine Integrated Primary School,6,120,5.00%
4010512,McKinney Primary School Dundrod,0,154,0.00%
4010720,Ballycarrickmaddy Primary School,*,180,*
4010743,Largymore Primary School,*,176,*
4010762,Brownlee Primary School,11,200,5.50%
4010788,Dunmurry Primary School,31,212,14.60%
4010807,Lisburn Central Primary School,39,220,17.70%
4010882,Seymour Hill Primary School,22,236,9.30%
4010885,Tonagh Primary School,10,240,4.20%
4011265,Ballyvester Primary School,0,123,0.00%
4011300,Grey Abbey Primary School,0,93,0.00%
4011310,Carrickmannon Primary School,0,103,0.00%
4011345,Newtownards Model Primary School,9,410,2.20%
4011373,Kirkistown Primary School,6,81,7.40%
4011462,Castle Gardens Primary School,*,255,*
4011488,"Victoria Primary School, Ballyhalbert",0,141,0.00%
4011507,Portavogie Primary School,*,261,*
4011566,Ballywalter Primary School,*,168,*
4011567,Ballynahinch Primary School,*,220,*
4011578,Derryboy Primary School,0,81,0.00%
4011584,Carr Primary School,*,70,*
4011587,Dundonald Primary School,74,846,8.70%
4011588,Comber Primary School,*,388,*
4011599,Castlewellan Primary School,*,51,*
4011606,Gilnahirk Primary School,*,422,*
4011608,Anahilt Primary School,0,141,0.00%
4011619,Dromara Primary School,*,181,*
4011631,Holywood Primary School,8,458,1.70%
4011632,Cregagh Primary School,9,178,5.10%
4011645,Crawfordsburn Primary School,0,210,0.00%
4011646,"Victoria Primary School, Newtownards",15,560,2.70%
4011650,Ballyholme Primary School,0,628,0.00%
4011654,Donaghadee Primary School,*,459,*
4011657,Lisnasharragh Primary School,16,334,4.80%
4011670,Clandeboye Primary School,26,331,7.90%
4011674,Knockbreda Primary School,*,195,*
4011681,Millisle Primary School,0,227,0.00%
4011683,Braniel Primary School,22,437,5.00%
4011698,Newcastle Primary School,12,187,6.40%
4011699,Moneyrea Primary School,0,209,0.00%
4013013,Belvoir Park Primary School,20,296,6.80%
4013023,Bloomfield Primary School,7,447,1.60%
4013024,Cairnshill Primary School,25,544,4.60%
4013038,Tullycarnet Primary School,*,46,*
4013043,Lead Hill Primary School,12,140,8.60%
4013044,Carryduff Primary School,10,203,4.90%
4013045,Grange Park Primary School,0,410,0.00%
4013046,Alexander Dickson Primary School,*,85,*
