Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
3010829,Antrim Primary School,10,94,104
3010834,Clough Primary School,8,12,20
3010835,Kells & Connor Primary School,6,35,41
3010841,Carrickfergus Central Primary School,*,#,16
3010842,The William Pinkerton Memorial Primary School,6,18,24
3010846,Whiteabbey Primary School,8,32,40
3010847,Portrush Primary School,6,25,31
3010850,Upper Ballyboley Primary School,*,#,8
3010860,Sunnylands Primary School,6,34,40
3010862,Abbots Cross Primary School,9,46,55
3010870,Moyle Primary School,34,62,96
3010873,Bushmills Primary School,*,#,15
3010874,Whitehead Primary School,*,#,56
3010875,Ballymena Primary School,11,38,49
3010878,Kilmoyle Primary School,*,#,23
3010879,Straidhavern Primary School,*,#,19
3010880,"Kings Park Primary School, Newtownabbey",5,61,66
3010883,Linn Primary School,11,98,109
3010891,Fourtowns Primary School,5,49,54
3010892,Ballytober Primary School,5,22,27
3010893,Knockahollet Primary School,0,12,12
3010895,Rathcoole Primary School,5,31,36
3012049,Carnalridge Primary School,*,#,24
3012065,Culcrow Primary School,*,#,15
3012225,Damhead Primary School,*,#,42
3012229,Hezlett Primary School,5,25,30
3012233,Tobermore Primary School,*,#,12
3012234,Ampertaine Primary School,*,#,22
3012237,"Killowen Primary School, Coleraine",6,48,54
3012250,Portstewart Primary School,*,#,75
3012264,Millburn Primary School,15,60,75
3012267,Magherafelt Controlled Primary School,*,#,39
3012269,Kilrea Primary School,*,#,23
3012282,Culnady Primary School,*,*,*
3012284,D H Christie Memorial Primary School,22,102,124
3012288,Castleroe Primary School,7,11,18
3012290,Bellaghy Primary School,*,#,7
3012291,Maghera Primary School,0,19,19
3013301,Carnmoney Primary School,5,83,88
3013310,Broughshane Primary School,*,#,52
3013315,Ballykeel Primary School,11,78,89
3013322,Camphill Primary School,9,54,63
3013323,Mossgrove Primary School,5,32,37
3013325,Leaney Primary School,13,57,70
3013330,"Victoria Primary School, Carrickfergus",5,74,79
3013331,Ballycraigy Primary School,9,49,58
3013332,Toreagh Primary School,*,#,7
3013700,Macosquin Primary School,5,39,44
3013703,Kilross Primary School,*,#,8
3013704,Castledawson Primary School,*,#,37
3016005,Silverstream Primary School,*,#,25
3016014,Templepatrick Primary School,5,47,52
3016015,Mossley Primary School,13,112,125
