DE ref,school name,nursery pupils,reception pupils,year 1,year 2,year 3,year 4,year 5,year 6,year 7,total enrolment
2016701,Ardstraw Jubilee Primary School,0,0,12,10,15,20,10,9,9,85
2030364,Rosemount Primary School,52,0,54,47,40,39,47,43,24,346
2030373,Nazareth House Primary School,30,0,29,28,33,33,37,32,31,253
2030381,"Holy Child Primary School, Londonderry",52,0,36,33,27,28,27,28,25,256
2031828,"St Patrick's Primary School, Mullanaskea",0,0,26,28,32,29,29,34,29,207
2031863,Tattygar Primary School,0,0,16,7,15,13,7,10,7,75
2031868,"St Tierney's Primary School, Roslea",0,0,13,19,17,15,11,21,11,107
2031869,"St Mary's Primary School, Newtownbutler",0,0,26,29,26,26,24,29,20,180
2031874,"St Patrick's Primary School, Derrygonnelly",0,7,11,18,14,22,22,11,18,123
2031876,"St Mary's Primary School, Brookeborough",0,0,10,7,11,8,6,6,9,57
2031880,"St Ninnidh's Primary School, Derrylin",0,0,16,23,15,25,16,24,14,133
2031884,"St Mary's Primary School, Killesher",0,0,19,9,8,10,12,11,12,81
2031887,"St John the Baptist Primary School, Enniskillen",0,1,6,6,8,7,6,5,7,46
2031890,"St Mary's Primary School, Mullymesker",0,0,15,19,13,23,28,15,19,132
2031895,"St Mary's Primary School, Maguiresbridge",0,0,14,15,17,9,14,10,16,95
2031897,Killyhommon Primary School,0,0,10,18,6,12,6,10,11,73
2031898,"St Paul's Primary School, Irvinestown",26,0,34,29,33,28,26,26,29,231
2031901,"St Ronan's Primary School, Lisnaskea",54,0,50,47,45,40,38,52,33,359
2032212,Glendermott Primary School,28,0,24,23,11,22,19,10,17,154
2032263,"St Canice's Primary School, Feeny",0,0,13,16,20,9,23,15,20,116
2032278,Broadbridge Primary School,0,0,71,57,59,61,67,64,52,431
2032286,"St Matthew's Primary School, Limavady",0,0,9,17,9,18,7,12,11,83
2032287,Termoncanice Primary School,52,0,68,67,57,63,66,79,76,528
2032294,"St Mary's Primary School, Altinure",0,0,28,20,25,23,22,27,20,165
2032300,Listress Primary School,0,0,1,6,2,2,5,3,4,23
2032473,Magheralough Primary School,0,0,0,3,2,2,5,4,7,23
2032573,"St Brigid's Primary School, Altamuskin",0,0,4,10,6,9,14,6,9,58
2032603,Tummery Primary School,0,0,4,5,5,7,5,9,9,44
2032607,"St Mary's Primary School, Killyclogher",26,0,42,44,56,61,49,48,62,388
2032612,"St Matthew's Primary School, Garvaghey",0,0,1,5,3,4,6,7,1,27
2032628,Knocknagor Primary School,0,0,8,11,11,11,8,11,8,68
2032639,Drumduff Primary School,0,0,4,7,5,12,2,8,8,46
2032662,"St Brigid's Primary School, Mountfield",0,0,11,4,7,5,6,3,2,38
2032676,"St Patrick's Primary School, Gortin",0,0,14,11,11,11,9,12,15,83
2032677,Drumlish Primary School,0,0,7,9,3,12,8,11,12,62
2032682,"St Eugene's Primary School, Victoria Bridge",0,3,6,8,10,8,9,8,10,62
