DE ref,Schoolname,male,female,total pupils
3010785,"Eden Primary School, Carrickfergus",104,106,210
3010787,Lislagan Primary School,45,68,113
3010794,Gracehill Primary School,219,213,432
3010795,Landhead Primary School,32,31,63
3010796,"Eden Primary School, Ballymoney",36,30,66
3010802,Ballynure Primary School,70,69,139
3010804,Straidbilly Primary School,55,53,108
3010808,Glynn Primary School,39,40,79
3010809,Ballycarry Primary School,39,53,92
3010816,Randalstown Central Primary School,89,98,187
3010817,Greenisland Primary School,208,191,399
3010818,Moorfields Primary School,91,93,184
3010822,Groggan Primary School,66,64,130
3010825,Carnaghts Primary School,55,55,110
3010826,The Diamond Primary School,73,68,141
3010827,Whitehouse Primary School,224,237,461
3010828,Kilbride Primary School,73,67,140
3010829,Antrim Primary School,300,306,606
3010834,Clough Primary School,87,81,168
3010835,Kells & Connor Primary School,103,86,189
3010841,Carrickfergus Central Primary School,32,44,76
3010842,The William Pinkerton Memorial Primary School,42,49,91
3010846,Whiteabbey Primary School,226,185,411
3010847,Portrush Primary School,90,99,189
3010850,Upper Ballyboley Primary School,20,22,42
3010860,Sunnylands Primary School,85,82,167
3010862,Abbots Cross Primary School,167,148,315
3010870,Moyle Primary School,206,201,407
3010873,Bushmills Primary School,48,63,111
3010874,Whitehead Primary School,228,216,444
3010875,Ballymena Primary School,138,158,296
3010878,Kilmoyle Primary School,37,44,81
3010879,Straidhavern Primary School,27,25,52
3010880,"Kings Park Primary School, Newtownabbey",207,186,393
3010883,Linn Primary School,212,201,413
3010891,Fourtowns Primary School,145,149,294
3010892,Ballytober Primary School,52,35,87
3010893,Knockahollet Primary School,46,50,96
3010895,Rathcoole Primary School,62,63,125
3012049,Carnalridge Primary School,97,87,184
3012065,Culcrow Primary School,47,52,99
3012225,Damhead Primary School,107,99,206
3012229,Hezlett Primary School,141,107,248
3012233,Tobermore Primary School,27,25,52
3012234,Ampertaine Primary School,67,59,126
3012237,"Killowen Primary School, Coleraine",95,106,201
3012250,Portstewart Primary School,138,140,278
3012264,Millburn Primary School,178,173,351
3012267,Magherafelt Controlled Primary School,110,132,242
3012269,Kilrea Primary School,40,50,90
3012282,Culnady Primary School,13,13,26
3012284,D H Christie Memorial Primary School,223,202,425
3012288,Castleroe Primary School,50,60,110
3012290,Bellaghy Primary School,26,29,55
3012291,Maghera Primary School,48,52,100
3013301,Carnmoney Primary School,199,209,408
3013310,Broughshane Primary School,187,152,339
3013315,Ballykeel Primary School,202,231,433
3013322,Camphill Primary School,188,204,392
3013323,Mossgrove Primary School,151,144,295
3013325,Leaney Primary School,135,147,282
3013330,"Victoria Primary School, Carrickfergus",225,239,464
3013331,Ballycraigy Primary School,76,64,140
3013332,Toreagh Primary School,52,50,102
3013700,Macosquin Primary School,118,86,204
3013703,Kilross Primary School,16,24,40
3013704,Castledawson Primary School,42,52,94
3016005,Silverstream Primary School,67,77,144
3016014,Templepatrick Primary School,245,211,456
3016015,Mossley Primary School,311,311,622
3016037,Greystone Primary School,101,96,197
3016038,Hollybank Primary School,80,63,143
3016040,Armoy Primary School,41,48,89
3016052,Harpurs Hill Primary School,133,87,220
3016055,Gorran Primary School,40,41,81
3016058,Parkhall Primary School,98,104,202
3016063,Dunclug Primary School,36,31,67
3016119,Garvagh Primary School,45,34,79
3016125,Rasharkin Primary School,38,33,71
3016129,Carniny Primary School,149,138,287
3016170,Ballyhenry Primary School,88,71,159
