DE ref,Schoolname,total enrolment,fsme,free school meals
2036095,"St Mary's Primary School, Cloughcor",183,58,31.70%
2036097,"St Peter's Primary School, Plumbridge",77,23,29.90%
2036105,St Martin's Primary School,91,23,25.30%
2036107,"St Joseph's Primary School, Lisnaskea",94,25,26.60%
2036116,"St Conor's Primary School, Omagh",438,141,32.20%
2036142,"St Brigid's Primary School, Carnhill",363,249,68.60%
2036143,"St Oliver Plunkett Primary School, Strathfoyle",222,125,56.30%
2036149,"St Finlough's Primary School, Sistrakeel",79,23,29.10%
2036153,St Scire's Primary School,118,24,20.30%
2036181,"St Mary's Primary School, Teemore",92,18,19.60%
2036186,"St Dympna's Primary School, Dromore,",205,62,30.20%
2036187,"St John's Primary School, Dernaflaw",131,45,34.40%
2036213,"St Columban's Primary School, Belcoo",103,28,27.20%
2036227,"St Paul's Primary School, Slievemore",165,122,73.90%
2036247,"St Columba's Primary School, Newbuildings",63,11,17.50%
2036258,"St Davog's Primary School, Belleek",96,40,41.70%
2036259,"Sacred Heart Primary School, Trench Road",397,184,46.30%
2036288,Good Shepherd Primary School,436,109,25.00%
2036291,"St Oliver Plunkett Primary School, Beragh",104,25,24.00%
2036356,"St Mary's Primary School, Tempo",126,35,27.80%
2036387,"St Patrick's Primary School, Donemana",36,12,33.30%
2036415,"Our Lady of Lourdes Primary School, Omagh",114,32,28.10%
2036449,"Christ The King Primary School, Omagh",202,138,68.30%
2036458,"St Mary?s Primary School, Gortnaghey",71,26,36.60%
2036459,"St Theresa's Primary School, Glebe",101,52,51.50%
2036461,"St Therese's Primary School, Lenamore",366,282,77.00%
2036465,Chapel Road Primary School,207,94,45.40%
2036472,"Holy Family Primary School, Ballymagroarty",491,307,62.50%
2036473,"St Eithne's Primary School, Ballymagroarty",418,212,50.70%
2036475,Longtower Primary School,269,174,64.70%
2036533,Hollybush Primary School,450,56,12.40%
2036555,"St Eugene's Primary School, Londonderry",163,93,57.10%
2036557,All Saints Primary School,110,32,29.10%
2036574,Bunscoil Cholmcille,108,61,56.50%
2036581,"St Patrick's Primary School, Pennyburn",867,307,35.40%
2036632,"Holy Trinity Primary School, Enniskillen",705,270,38.30%
2036659,"St Macartan's Primary School, Roslea",121,28,23.10%
2036674,"Holy Family Primary School, Omagh",384,106,27.60%
2036696,"St Mary's Primary School, Strabane",745,309,41.50%
2036703,St Catherine?s Primary School,500,287,57.40%
2046638,Gaelscoil U? Dhochartaigh,170,84,49.40%
2046646,Gaelscoil Eadain Mhoir,149,71,47.70%
2046669,Bunscoil an Traonaigh,44,19,43.20%
2046677,Gaelscoil na gCrann,157,62,39.50%
2046687,Gaelscoil na Daroige,66,32,48.50%
2046689,Gaelscoil Leim an Mhadaidh,82,23,28.00%
2052035,Groarty Primary School,41,23,56.10%
2066549,Enniskillen Integrated Primary School,337,85,25.20%
2066552,Omagh Integrated Primary School,348,92,26.40%
2066558,Oakgrove Integrated Primary School,452,128,28.30%
2066665,Roe Valley Integrated Primary School,188,71,37.80%
3010404,Tildarg Primary School,80,10,12.50%
3010466,Longstone Primary School,32,15,46.90%
3010470,Carnalbanagh Primary School,26,8,30.80%
3010486,Larne and Inver Primary School,200,69,34.50%
3010553,Carrickfergus Model Primary School,400,46,11.50%
3010558,Duneane Primary School,31,0,0.00%
3010570,Straid Primary School,66,11,16.70%
3010572,Carrowreagh Primary School,87,11,12.60%
