DE ref,Schoolname,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Enrolment
2032287,Termoncanice Primary School,*,*,523,99.1,*,*,528
2032294,"St Mary's Primary School, Altinure",0,0,165,100,0,0,165
2032300,Listress Primary School,0,0,23,100,0,0,23
2032473,Magheralough Primary School,0,0,22,95.7,1,4.3,23
2032573,"St Brigid's Primary School, Altamuskin",0,0,58,100,0,0,58
2032603,Tummery Primary School,0,0,44,100,0,0,44
2032607,"St Mary's Primary School, Killyclogher",*,*,#,#,*,*,388
2032612,"St Matthew's Primary School, Garvaghey",0,0,27,100,0,0,27
2032628,Knocknagor Primary School,0,0,68,100,0,0,68
2032639,Drumduff Primary School,0,0,46,100,0,0,46
2032662,"St Brigid's Primary School, Mountfield",0,0,35,92.1,3,7.9,38
2032676,"St Patrick's Primary School, Gortin",0,0,82,98.8,1,1.2,83
2032677,Drumlish Primary School,0,0,62,100,0,0,62
2032682,"St Eugene's Primary School, Victoria Bridge",*,*,#,#,*,*,62
2032683,"St Joseph's Primary School, Glenmornan",0,0,38,100,0,0,38
2032684,St Lawrence's Primary School,0,0,262,100,0,0,262
2032685,"St Brigid's Primary School, Cranagh",0,0,22,100,0,0,22
2032688,"St Eugene's Primary School, Tyrcur",0,0,30,96.8,1,3.2,31
2032694,St Caireall's Primary School,0,0,92,100,0,0,92
2032700,"St Joseph's Primary School, Drumquin",0,0,136,100,0,0,136
2032704,Recarson Primary School,0,0,106,100,0,0,106
2032705,"St Patrick's Primary School, Eskra",0,0,95,100,0,0,95
2032721,"Sacred Heart Primary School, Tattyreagh",*,*,#,#,*,*,80
2032722,Altishane Primary School,0,0,16,100,0,0,16
2032723,Roscavey Primary School,0,0,56,96.6,2,3.4,58
2032724,Loughash Primary School,0,0,37,100,0,0,37
2032730,"St Columba's Primary School, Clady",0,0,149,100,0,0,149
2032731,"St Teresa's Primary School, Loughmacrory",0,0,157,100,0,0,157
2032737,"St Columbkille's Primary School, Carrickmore",0,0,330,100,0,0,330
2033706,Faughanvale Primary School,0,0,195,99,2,1,197
2033707,Mullabuoy Primary School,0,0,82,100,0,0,82
2033708,St Aidan's Primary School Magilligan,0,0,63,100,0,0,63
2036008,"St Patrick's Primary School, Newtownstewart",0,0,124,98.4,2,1.6,126
2036032,"St John's Primary School, Bligh's Lane",0,0,563,100,0,0,563
2036045,"St Canice's Primary School, Dungiven",0,0,326,100,0,0,326
2036069,"St Anne's Primary School, Derry",0,0,501,100,0,0,501
2036070,"St Joseph's Primary School, Ederney",*,*,#,#,*,*,154
2036082,"St Colmcilles Primary School, Claudy",*,*,258,98.1,*,*,263
2036084,Steelstown Primary School,0,0,371,98.7,5,1.3,376
2036085,St Peter's & St Paul's Primary School,0,0,40,95.2,2,4.8,42
2036090,"St Naile's Primary School, Kinawley",0,0,95,100,0,0,95
2036094,"St Patrick's Primary School, Castlederg",0,0,310,96.9,10,3.1,320
2036095,"St Mary's Primary School, Cloughcor",*,*,#,#,0,0,183
2036097,"St Peter's Primary School, Plumbridge",0,0,77,100,0,0,77
2036105,St Martin's Primary School,*,*,#,#,*,*,91
2036107,"St Joseph's Primary School, Lisnaskea",0,0,94,100,0,0,94
2036116,"St Conor's Primary School, Omagh",*,*,427,97.5,#,#,438
2036142,"St Brigid's Primary School, Carnhill",0,0,363,100,0,0,363
2036143,"St Oliver Plunkett Primary School, Strathfoyle",*,*,#,#,*,*,222
2036149,"St Finlough's Primary School, Sistrakeel",*,*,74,93.7,*,*,79
2036153,St Scire's Primary School,*,*,#,#,0,0,118
2036181,"St Mary's Primary School, Teemore",*,*,#,#,*,*,92
2036186,"St Dympna's Primary School, Dromore,",0,0,197,96.1,8,3.9,205
2036187,"St John's Primary School, Dernaflaw",0,0,131,100,0,0,131
2036213,"St Columban's Primary School, Belcoo",*,*,#,#,*,*,103
2036227,"St Paul's Primary School, Slievemore",0,0,163,98.8,2,1.2,165
2036247,"St Columba's Primary School, Newbuildings",0,0,62,98.4,1,1.6,63
2036258,"St Davog's Primary School, Belleek",0,0,95,99,1,1,96
2036259,"Sacred Heart Primary School, Trench Road",*,*,#,#,0,0,397
2036288,Good Shepherd Primary School,*,*,393,90.1,#,#,436
2036291,"St Oliver Plunkett Primary School, Beragh",0,0,104,100,0,0,104
2036356,"St Mary's Primary School, Tempo",0,0,126,100,0,0,126
2036387,"St Patrick's Primary School, Donemana",0,0,36,100,0,0,36
2036415,"Our Lady of Lourdes Primary School, Omagh",0,0,114,100,0,0,114
2036449,"Christ The King Primary School, Omagh",0,0,201,99.5,1,0.5,202
2036458,"St Mary?s Primary School, Gortnaghey",0,0,71,100,0,0,71
2036459,"St Theresa's Primary School, Glebe",0,0,101,100,0,0,101
2036461,"St Therese's Primary School, Lenamore",*,*,#,#,*,*,366
2036465,Chapel Road Primary School,5,2.4,199,96.1,3,1.4,207
2036472,"Holy Family Primary School, Ballymagroarty",0,0,490,99.8,1,0.2,491
2036473,"St Eithne's Primary School, Ballymagroarty",0,0,417,99.8,1,0.2,418
2036475,Longtower Primary School,0,0,265,98.5,4,1.5,269
2036533,Hollybush Primary School,0,0,442,98.2,8,1.8,450
2036555,"St Eugene's Primary School, Londonderry",*,*,157,96.3,#,#,163
2036557,All Saints Primary School,0,0,110,100,0,0,110
2036574,Bunscoil Cholmcille,0,0,107,99.1,1,0.9,108
2036581,"St Patrick's Primary School, Pennyburn",0,0,865,99.8,2,0.2,867
2036632,"Holy Trinity Primary School, Enniskillen",8,1.1,667,94.6,30,4.3,705
2036659,"St Macartan's Primary School, Roslea",0,0,121,100,0,0,121
2036674,"Holy Family Primary School, Omagh",0,0,381,99.2,3,0.8,384
2036696,"St Mary's Primary School, Strabane",0,0,744,99.9,1,0.1,745
2036703,St Catherine?s Primary School,0,0,500,100,0,0,500
2046638,Gaelscoil U? Dhochartaigh,0,0,170,100,0,0,170
2046646,Gaelscoil Eadain Mhoir,0,0,143,96,6,4,149
2046669,Bunscoil an Traonaigh,0,0,41,93.2,3,6.8,44
2046677,Gaelscoil na gCrann,0,0,151,96.2,6,3.8,157
2046687,Gaelscoil na Daroige,0,0,37,56.1,29,43.9,66
2046689,Gaelscoil Leim an Mhadaidh,0,0,82,100,0,0,82
2052035,Groarty Primary School,10,24.4,29,70.7,2,4.9,41
2066549,Enniskillen Integrated Primary School,105,31.2,148,43.9,84,24.9,337
2066552,Omagh Integrated Primary School,67,19.3,171,49.1,110,31.6,348
2066558,Oakgrove Integrated Primary School,106,23.5,203,44.9,143,31.6,452
2066665,Roe Valley Integrated Primary School,34,18.1,126,67,28,14.9,188
3010404,Tildarg Primary School,52,65,*,*,#,#,80
3010466,Longstone Primary School,#,#,*,*,*,*,32
3010470,Carnalbanagh Primary School,15,57.7,*,*,#,#,26
3010486,Larne and Inver Primary School,138,69,*,*,#,#,200
3010553,Carrickfergus Model Primary School,289,72.3,10,2.5,101,25.3,400
3010558,Duneane Primary School,30,96.8,0,0,1,3.2,31
3010570,Straid Primary School,60,90.9,0,0,6,9.1,66
3010572,Carrowreagh Primary School,81,93.1,0,0,6,6.9,87
3010594,Garryduff Primary School,69,90.8,*,*,#,#,76
3010631,Ballyclare Primary School,363,69.4,8,1.5,152,29.1,523
3010642,Parkgate Primary School,50,78.1,0,0,14,21.9,64
3010646,Olderfleet Primary School,124,68.5,*,*,#,#,181
3010696,Woodburn Primary School,142,74.7,*,*,#,#,190
3010714,Buick Memorial Primary School,244,76.3,6,1.9,70,21.9,320
3010726,Dunseverick Primary School,69,67.6,0,0,33,32.4,102
3010741,Creavery Primary School,70,87.5,5,6.3,5,6.3,80
3010745,Loanends Primary School,148,72.5,6,2.9,50,24.5,204
3010754,Doagh Primary School,49,56.3,0,0,38,43.7,87
3010779,Thompson Primary School,115,60.8,5,2.6,69,36.5,189
3010780,Kirkinriola Primary School,26,72.2,*,*,#,#,36
3010781,Harryville Primary School,79,61.2,5,3.9,45,34.9,129
3010785,"Eden Primary School, Carrickfergus",131,62.4,0,0,79,37.6,210
3010787,Lislagan Primary School,75,66.4,5,4.4,33,29.2,113
3010794,Gracehill Primary School,303,70.1,6,1.4,123,28.5,432
3010795,Landhead Primary School,52,82.5,*,*,#,#,63
3010796,"Eden Primary School, Ballymoney",57,86.4,*,*,#,#,66
3010802,Ballynure Primary School,110,79.1,*,*,#,#,139
3010804,Straidbilly Primary School,100,92.6,0,0,8,7.4,108
3010808,Glynn Primary School,64,81,0,0,15,19,79
3010809,Ballycarry Primary School,53,57.6,*,*,#,#,92
3010816,Randalstown Central Primary School,137,73.3,*,*,#,#,187
3010817,Greenisland Primary School,181,45.4,23,5.8,195,48.9,399
3010818,Moorfields Primary School,159,86.4,*,*,#,#,184
3010822,Groggan Primary School,109,83.8,*,*,#,#,130
3010825,Carnaghts Primary School,78,70.9,*,*,#,#,110
3010826,The Diamond Primary School,116,82.3,0,0,25,17.7,141
3010827,Whitehouse Primary School,282,61.2,6,1.3,173,37.5,461
3010828,Kilbride Primary School,109,77.9,6,4.3,25,17.9,140
3010829,Antrim Primary School,399,65.8,11,1.8,196,32.3,606
3010834,Clough Primary School,143,85.1,0,0,25,14.9,168
3010835,Kells & Connor Primary School,134,70.9,*,*,#,#,189
3010841,Carrickfergus Central Primary School,53,69.7,0,0,23,30.3,76
3010842,The William Pinkerton Memorial Primary School,85,93.4,0,0,6,6.6,91
3010846,Whiteabbey Primary School,197,47.9,69,16.8,145,35.3,411
3010847,Portrush Primary School,125,66.1,14,7.4,50,26.5,189
3010850,Upper Ballyboley Primary School,34,81,0,0,8,19,42
3010860,Sunnylands Primary School,113,67.7,*,*,#,#,167
3010862,Abbots Cross Primary School,209,66.3,5,1.6,101,32.1,315
3010870,Moyle Primary School,261,64.1,11,2.7,135,33.2,407
3010873,Bushmills Primary School,97,87.4,0,0,14,12.6,111
3010874,Whitehead Primary School,289,65.1,20,4.5,135,30.4,444
3010875,Ballymena Primary School,147,49.7,26,8.8,123,41.6,296
3010878,Kilmoyle Primary School,65,80.2,0,0,16,19.8,81
3010879,Straidhavern Primary School,31,59.6,*,*,#,#,52
3010880,"Kings Park Primary School, Newtownabbey",361,91.9,*,*,#,#,393
3010883,Linn Primary School,299,72.4,6,1.5,108,26.2,413
3010891,Fourtowns Primary School,218,74.1,*,*,#,#,294
3010892,Ballytober Primary School,77,88.5,0,0,10,11.5,87
3010893,Knockahollet Primary School,76,79.2,0,0,20,20.8,96
3010895,Rathcoole Primary School,81,64.8,*,*,#,#,125
3012049,Carnalridge Primary School,96,52.2,18,9.8,70,38,184
3012065,Culcrow Primary School,79,79.8,*,*,#,#,99
3012225,Damhead Primary School,149,72.3,*,*,#,#,206
3012229,Hezlett Primary School,152,61.3,*,*,#,#,248
3012233,Tobermore Primary School,52,100,0,0,0,0,52
3012234,Ampertaine Primary School,118,93.7,*,*,#,#,126
3012237,"Killowen Primary School, Coleraine",94,46.8,19,9.5,88,43.8,201
3012250,Portstewart Primary School,146,52.5,16,5.8,116,41.7,278
3012264,Millburn Primary School,209,59.5,36,10.3,106,30.2,351
3012267,Magherafelt Controlled Primary School,196,81,11,4.5,35,14.5,242
3012269,Kilrea Primary School,74,82.2,0,0,16,17.8,90
3012282,Culnady Primary School,24,92.3,0,0,2,7.7,26
3012284,D H Christie Memorial Primary School,238,56,73,17.2,114,26.8,425
